,id,main,reply,target,stance_target_47,stance_target_54,stance_target_55,stance_target_67,stance_target_70,stance_target_71,stance_target_73,stance_target_79,majority,label
3076,3895,"""<span class=""stance-tagging"">#الهلال_النصر</span> توقعاتي للمباراه ... نار ياحبيبي نار .... هنا ملك التوقعات ...... أخطئ مره واصيب الف مره 🙏🙏🙏🙏 https://t.co/J0lVJw2MlT""",@Hassanalsobhan ليتك والله ماتوقعت  ما انسى مباراة الاهلي والهلال بجده يوم تقول فوز الهلال وبالاخير فاز الاهلي  ان كنت ناسي افكرك يافاشل,الهلال النصر,comment,,comment,comment,,,,,comment,2.0
859,1318,"""#عاجل : مصادر : #<span class=""stance-tagging"">السلطة_الفلسطينية</span> التي يترأسها #محمود_عباس قامت ببيع سيارات الدفاع المدني التي تبرعت بها #السعودية .  2 من السيارات تم بيعها لمستوطنة بركان في الضفة الغربية  #فلسطين #الاردن #مصر #البحرين #الامارات #الكويت #العراق #الطقس #السيسي #اليمن #ايران #مجموعه_العشرين #قطر https://t.co/OoQkZdthN2""",@shfanews_net انتو بايعين الارض والعرض.. جت على سيارات إطفاء😂👋,السلطة الفلسطينية,deny,,deny,,deny,,,,deny,1.0
390,778,"""سمو #ولي_العهد خلال أعمال القمة الافتراضية لقادة دول مجموعة العشرين برئاسة <span class=""stance-tagging"">#خادم_الحرمين_الشريفين.</span>  #مجموعة_العشرين_في_السعودية https://t.co/mw43HUPaPY""",@Badermasaker اللهم لك الحمد قمة العشرين برئاسة خادم الحرمين الشريفين وولي عهده الامين وقصة النجاح والتميز المبهر للعالم وبكل مهنيه وفخر واعتزاز لابلاد الحرمين الشريفين ودام عزك  ياوطن 🇸🇦🇸🇦🇸🇦❤️❤️❤️🌹🌹🌹,خادم الحرمين الشريفين,support,,,,support,,,,support,0.0
2488,3269,"""الشاعر العملاق <span class=""stance-tagging"">عبدالله البيضاني</span> يؤكد رغبته في الابتعاد عن الساحة و سواء وافقناه أو عارضناه فإن الرجل خلال مسيرة 40 عاما جدير بتكريم يليق به ، أتمنى أن أرى هذا الحلم على أرض الواقع فهو يستاهل ، و محبيه يقدرون""",@akazmary هذه التغريدة من ابو متعب تعتبر تصويتاً غير مباشر على قوة وحب الناس للشاعر عبدالله البيضاني  فقد فاز ابو ماجد في هذا التصويت بنتيجة وبنسبة صعقت العذال . فهنيئاً لك يابو ماجد هذه الشهره ومحبة الناس فوقها  أما مسألة الاعتزال فقد تكون إستراحة محارب ليس إلا .,عبدالله البيضاني,support,,,support,support,,,,support,0.0
2229,2834,"""لم يكن انتهاج تنظيم <span class=""stance-tagging"">الإخوان</span> الإرهابي للعنف والاغتيالات ناتجا عن ردة فعل للعنف الموجه ضدهم في العهد الناصري. بل هو أساس في فكر الجماعة، حيث مارسوا الاغتيالات في العهد الملكي، من ذلك اغتيال رئيس الوزراء المصري النقراشي، ونتج عنه اغتيال مرشدهم الأول حسن البنا فسقي من نفس الكأس.""",@HaniBinbrek @82yahyaC ياحبيبي نحن وين وانت وين ارحمو عقولنا وغردو في حدود قضيتنا اشعر اننا في مهب الريح,الإخوان,comment,,comment,,,,,,comment,2.0
3960,4862,"""27 يوم ولا خبر عن لجين.  مملكة الإنسانية........  لعنة الله على قتلة <span class=""stance-tagging"">خاشقجي</span> والفغم""",@alia_ww لعنه الله قاتلي خاشقجي وأطفال ونساء وابرياء في اليمن والسعودية والإمارات والبحرين ومصر,خاشقجي,,support,,support,support,,,,support,0.0
2251,2885,"""في يوم تاريخي ..  المملكة تقود العالم ..  وترأس قمة العشرين بالرياض..  <span class=""stance-tagging"">السعودية</span> العظمى فخر وعز وقمة . 🇸🇦🇸🇦🇸🇦 .  . #<span class=""stance-tagging"">السعودية</span>_ترحب_بقادة_العشرين #G20SaudiArabia https://t.co/6bsSVuOhki""",@malgazlanksa يا جمالك يا بلادي، دائماً في القمة، تميز في القيادة والريادة، وثوابت وقيم راسخة ، ربي يديم الخير الوفير على بلدنا وقيادتنا 🇸🇦♥️.,السعودية,support,,support,,,,,,support,0.0
12,22,"""من كبار الضباط السابقين بالقوات الجوية ، وأحد الشخصيات البارزة والفاعلة في منطقة جازان  ، عرف بحضوره المؤثر في خدمة المجتمع ومساعيه في إصلاح ذات البين .  اللواء ركن طيار متقاعد/ <span class=""stance-tagging"">فرحان بن حسين</span> الكبيشي المالكي شيخ شمل قبائل آل خالد في محافظة الداير بني مالك وعضو مجلس منطقة جازان . https://t.co/L3IBbPaymb""",@ali_m_zalah شيخنا وتاج رؤوسنا ( أبو حسين)  تجتمع عليه وبه القلوب  مثال للخلق والدين والأدب نعتز به ونفخر  خدم الدين والمليك والوطن  ثم عاد إلى مسقط رأسه  يقوي الضعيف، ويساعد المسكين، ويعين على نوائب الدهر أملنا فيه كبير  ودعاؤنا له متواصل أن يمده الله بالعون والتوفيق والتسديد .,فرحان بن حسين,support,support,,,,,,,support,0.0
5354,11667,"""سيدي <span class=""stance-tagging"">ولي العهد</span> .. طموحنا معك بلغ عنان السماء .. تصنع الحاضر الجميل والمستقبل المشرق .. 🇸🇦🇸🇦   https://t.co/66bGmNPUwM""",@AlsuwaiketS نحتاج إلى عمال لوظيفة بودكاست ، المناوبة الأولى من الساعة 8 صباحًا إلى 2 مساءً ، 300 دولار يوميًا للعمل من راحة منزلك ، إذا كنت مهتمًا   انضم إلى الشركة https://t.co/LNmkqyQLZ5,ولي العهد,,,,,comment,,,comment,comment,2.0
5636,30313,"""التعليم تعرب عن شكرها <span class=""stance-tagging"">للسيد مقتدى الصدر</span> وتؤكد حرصها على مستقبل أبنائها الطلبة  https://t.co/7pWRC9MGIg https://t.co/SOofol6voe""",@mohesr_gov_iq استاذ. يعني اذا مات طالب يوم القيام شنو تكل لله يعني هاي ارواح  بشر بذمتكم تعتبرون قاتلين اذا متنه بكورونا تخيل انت لو اولادك يصير بيهم وموتون شنو رده فعلكم مو كافي فوك ما العيشه بالعراق تقصر العمر تجي تزودها علينه هاي احلا ايام عمرنا خلصت بكورونا وضيم قراراتكم   #كورونا,للسيد مقتدى الصدر,,,,,comment,,,comment,comment,2.0
